title,author,isbn,book_type,genre,sub_genre,topic,lexile_rating,grade,owned
The Enormous Egg,Oliver Butterworth,,Fiction,,,,,3,
The Family Under the Bridge,Natalie Carlson,,Fiction,,,,,4,
The Fast Sooner Hound,Arna Bontemps,,Fiction,,,,,2,
The Federalist Papers,Alexander Hamilton,,,,,,,7,
The First Fowler,S. D. Smith,,,Fantasy,,,,,
The Frog Prince,Jacob and Wilhelm Grimm,,Fiction,,,,,1,
The Gingerbread Boy,Paul Galdone,,Fiction,,,,,2,
The Golden Fleece (Greek myths),Padraic Colum,,,History,,,,,
The Golden Goblet,Eloise Jarvis McGraw,,,Historical Fiction,,,,,
The Good Fight: How WWII Was Won,Stephen Ambrose,,,,,,,8,
The Good Master,Kate Seredy,,Fiction,,,,,4,
The Green Ember I: The Green Ember,S. D. Smith,,Fiction,Fantasy,,,,3,
The Green Ember II: Ember Falls,S. D. Smith,,Fiction,Fantasy,,,,3,
The Green Ember III: Ember Rising,S. D. Smith,,Fiction,Fantasy,,,,3,
The Green Ember IV: Ember's End,S. D. Smith,,Fiction,Fantasy,,,,3,
The Happy Hollisters,Jerry West,,Fiction,,,,,2,
The Hare That Ran Away,Marie L. Shedlock,,Fiction,,,,,2,
The Hawk That Dare Not Hunt By Day,Scott O'Dell,,,,,,,7,
The Hiding Place,Corrie Ten Boom,,,,,,,8,
The Hobbit,JRR Tolkien,,Fiction,Fantasy,,,,3,
The Horse and His Boy,C. S. Lewis,,Fiction,,,,,3,
The Hound of the Baskervilles,Arthur Conan Doyle,,Fiction,Mystery,,,,6,
The House of Sixty Fathers,Meindert De Jong,,,,,,,7,
The House that Jack Built,"Frasconi, Antonio.",,Fiction,,,,,1,
The Hundred Dresses,Eleanor Estes,,Fiction,,,,,4,
The Hunting of Shadroth,Victor Kelleher,,Fiction,Fantasy,,,,5,
The Incredible Journey,Sheila Burnford,,Fiction,,,,,4,
The Jesus Storybook Bible,"Lloyd-Jones, Sally.",,Fiction,,,,,1,
The Jungle Book,Rudyard Kipling,,Fiction,,,,,6,
The King Without a Shadow,R. C. Sproul,,Fiction,,,,,2,
The Lady of Shalott,Alfred Lord,,,Poetry,,,,,
The Landing of the Pilgrims,James Daugherty,,,,,,,7,
The Lantern Bearers,Rosemary Sutcliff.,,,Historical Fiction,,,,,
The Last Archer,S. D. Smith,,,Fantasy,,,,,
The Last Battle,C. S. Lewis,,Fiction,,,,,6,
The Last Crusader,George Grant,,,,,,,7,
The Last Days of Socrates,Plato,,,History,,,,,
The Last of the Mohicans,James Fenimore Cooper,,,,,,,7,
The Legend of Sleepy Hollow,Washington Irving,,Fiction,,,,,6,
The Light Princess,George MacDonald,,Fiction,,,,,1,
"The Lion, Witch, and Wardrobe",C. S. Lewis,,Fiction,,,,,2,
The Little House,Virginia Burton,,Fiction,,,,,2,
The little House on the Prairie,L.I. Wilder,,Non-Fiction,,,,,1,
The Log of Christopher Columbus’ First Voyage to America in the Year 1492. Columbus’ actual log,Margaret Wise Brown,,,Classic,,,,,
The Lonely Sentinel (The Shadow Series),Piet Prins,,,,,,,8,
The Luck of Troy,Roger Lancelyn Green,,,History,,,,,
The Magic Fish,"Littledale, Freya.",,Fiction,,,,,1,
The Magic of Oz,L. Frank Baum,,Fiction,,,,,2,
The Magician’s Nephew,C. S. Lewis,,Fiction,,,,,6,
The Magna Charta,James Daugherty,,Non-Fiction,,,,,4,
The Man Who Laid the Egg,Louis Vernon,,,History,,,,,
The Martian Chronicles,Ray Bradbury,,Fiction,,,,,6,
The Matchlock Gun,Walter Edmonds,,Non-Fiction,,,,,3,
The Merry Adventures of Robin Hood,Howard Pyle,,,Historical Fiction,,,,,
The Midnight Ride,James Baldwin,,Fiction,,,,,2,
The Moffats,Eleanor Estes,,Fiction,,,,,3,
The Mouse and the Motorcycle,Beverly Cleary,,Fiction,,,,,2,
The Ocean of Truth: The Story of Isaac Newton,Joyce McPherson,,,,,,,7,
The Old Man and the Sea,Ernest Hemingway,,,,,,,8,
The Patchwork Girl of Oz,L. Frank Baum,,Fiction,,,,,2,
The Perilous Journey of the Donner Party,Marian Calabro ,,,,,,,7,
The Pied Piper of Hamelin,Robert Browning,,,Poetry,,,,,
The Pilgrim’s Progress,John Bunyan,,,,,,,7,
The Plant That Ate Dirty Socks,Nancy McArthur,,Fiction,,,,,2,
The Prince and the Pauper,Mark Twain,,Fiction,,,,,6,
The Princess and Curdie,George MacDonald,,Fiction,,,,,5,
The Princess and the Goblin,Goerge MacDonald,,Fiction,,,,,5,
The Prologue to the Canterbury Tales,Geoffrey Chaucer.,,,Classic,,,,,
The Prydain Chronicles,Lloyd Alexander,,Fiction,,,,,6,
The Railway Children,E. Nesbit,,Fiction,,,,,3,
The Raven,Edgar Allen Poe,,Fiction,Poetry,,,,5,
The Real Princess,Hans Christian Andersen,,Fiction,,,,,2,
The Reb and the Redcoats,Constance Savery,,,,,,,7,
The Red Badge of Courage,Stephen Crane,,Fiction,,,,,6,
The Reluctant Dragon,Kenneth Grahame,,Fiction,,,,,4,
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,,,Poetry,,,,,
The Robe,Lloyd C. Douglas,,,,,,,8,
The Scarlet Pimpernel,Baronness Orczy,,Fiction,,,,,7,Kindle
The Screwtape Letters,C. S. Lewis,,,Religion,,,,8,Kindle
The Secret Garden,Frances Hodgson Burnett,,Fiction,,,,,4,
The Shakespeare Stealer,Gary Blackwood,,Fiction,,,,,4,
The Sign of the Beaver,Elizabeth Speare,,,,,,,7,
The Silmarillion,JRR Tolkien,,Fiction,Fantasy,High Fantasy,,,6,
The Silver Branch,Rosemary Sutcliffe,,,Historical Fiction,,,,,
The Silver Chair,C. S. Lewis,,Fiction,,,,,5,
The Spy Who Came in from the Sea,Peggy Nolan,,,,,,,8,
The Story about Ping,Marjorie Flack,,Fiction,,,,,2,
The Story of a Bad Boy,Thomas Aldrich,,,,,,,7,
The Story of Ferdinand,Munro Leaf,,Fiction,,,,,2,
The Story of King Arthur and His Knights,Howard Pyle,,,Historical Fiction,,,,,
The Story of Mankind,Hendrik Van Loon,,Fiction,,,,,2,
The Story of Rolf and the Viking Bow,Allen French,,,Historical Fiction,,,,,
The Story of Sir Launcelot and his Champions,Howard Pyle,,,Historical Fiction,,,,,
The Story of the Champions of the Round Table,Howard Pyle,,,Historical Fiction,,,,,
The Story of the Grail and the Passing of Arthur,Howard Pyle,,,Historical Fiction,,,,,
The Story of the Greeks,H.A. Guerber,,Fiction,,,,,2,
The Story of the Treasure Seekers,E. Nesbit,,Fiction,,,,,3,
The Story of Trapp Family Singers,Maria Augusta Trapp,,,,,,,8,
The Stranger,Albert Camus,,,Literature,,,,9,
The Summer of the Swans,Betsy Byars,,Fiction,,,,,5,
The Sword and the Circle : King Arthur and the Knights of the Round Table,Rosemary Sutcliff,,,Classic,,,,,
The Sword in the Stone,T. H. White,,,Classic,,,,8,
The Tale of Benjamin Bunny,Beatrix Potter,,Fiction,,,,,1,
The Tale of Troy,Roger Lancelyn Green,,,History,,,,,
The Tales of Uncle Remus,Julius Lester,,Fiction,,,,,6,
The Tempest,Shakespeare,,Fiction,Historical Play,,,,10,
The Three Bears,Paul Galdone,,Fiction,,,,,2,
The Three Little Pigs,Paul Galdone,,Fiction,,,,,2,
The Three Musketeers,Alexandre Dumas,,,,,,,7,
The Time Machine,H. G. Wells,,,Science Fiction,,,,,
The Time Warp Trio: Sam Samurai,Jon Scieszka,,Fiction,,,,,3,
The Tinker’s Daughter,Wendy Lawton,,,,,,,7,
The Trojan War,Olivia Coolidge,,,History,,,,,
The True Adventure of Daniel Hall,Diane Stanley,,Non-Fiction,,,,,3,
The Trumpet of the Swan,E. B. White,,Fiction,,,,,4,
The Trumpeter of Krakow,Eric P. Kelly,,,Historical Fiction,,,,,
The Ugly Duckling,Lorinda Cauley,,Fiction,,,,,2,
The Velveteen Rabbit,Marjorie Williams,,Fiction,,,,,2,
The Voyage of the Dawn Treader,C. S. Lewis,,Fiction,,,,,5,
The Voyages of Dr. Dolittle,Hugh Lofting,,Fiction,,,,,4,
The Wanderings of Odysseus: The Story of THE ODYSSEY,Rosemary Sutcliffe,,,History,,,,,
The War of the Worlds,H. G. Wells,,,Science Fiction,,,,,
The Way to Wealth,Benjamin Franklin,,,Self Help,,,,,
The Wheel on the School,Meindert De Jong,,Fiction,,,,,5,
The Whipping Boy,Sid Fleischman,,Fiction,,,,,3,
The White Stag,Kate Seredy,,Fiction,,,,,5,
The Wind in the Willows,Kenneth Grahame,,Fiction,,,,,5,
The Witch of Blackbird Pond,Elizabeth Speare,,,History,,,,7,
The Witchcraft of Salem Village,Shirley Jackson,,,,,,,7,
The Wizard of Oz,Frank L. Baum,,Fiction,,,,,6,
The Wreck and Rise of Whitson Mariner,S. D. Smith,,Fiction,Fantasy,,,,3,
The Wright Brothers,Quentin Reynolds,,,,,,,8,
The Yanks Are Coming,Albert Marrin,,,,,,,8,
The Yearling,Marjorie Kinnan Rawlings,,Fiction,Literature,Drama,Horses,,6,Kindle
The Young Man and the Cat,Andrew Lang,,Fiction,,,,,2,
Their Eyes Were Watching God,Zora Neale Hurston,,Fiction,,,,,,
Theis Mercedes and the Chocolate Pilot ,Margot Raven,,,,,,,8,
Theory of Parallels,Lobachevsky,,,Maths,,,,10,
Thimble Summer,Elizabeth Enright,,Fiction,,,,,5,
This Dear-Bought Land,Jean Lee Latham,,,,,,,7,
This Present Darkness,"Frank Peretti
",,,"Fantasy
",,,,7,
Thomas Jefferson: Architect of Democracy ,John Severance,,,,,,,7,
Three Young Pilgrims,Cheryl Harness,,Fiction,,,,,2,
Thunder at Gettysburg,Patricia Gauch,,Fiction,,,,,2,
Thunderstorm in the Church,Louise A. Vernon,,Fiction,,,,,4,
Time of Wonder,Robert McCloskey,,Fiction,,,,,2,
To Be A Slave,Julius Lester,,,,,,,8,
To Kill a Mockingbird ,Harper Lee,,,,,,,8,
"To Sir, with Love",Edward Braithwaite,,,,,,,8,
Toliver’s Secret,Esther Wood Brady,,,History,,,,,
Tom’s Midnight Garden,Philippa Pearce,,Fiction,,,,,5,
Trailblazer Series,Dave Jackson,,Non-Fiction,,,,,3,
Treasure Island,Robert Louis Stevenson,,Fiction,Adventure,,,,7,
Treatise on Human Nature,Hume,,Non-Fiction,Philosophy,,,,10,
Treatise on Light,Huygens,,,Science,,,,10,
Treatise on the equilibrium of liquids,Pascal,,,Science,,,,10,
Tuck Everlasting,Natalie Babbitt,,Fiction,,,,,4,
"Turn Homeward, Hannalee",Patricia Beatty,,Fiction,,,,,5,
,,,,,,,,,
Twelfth Night,Shakespeare,,,,,,,8,
Twenty and Ten,Claire Bishop,,Non-Fiction,,,,,6,
Twenty-one Balloons,William Pene Du Bois,,Fiction,,,,,4,
Two Mighty Rivers,Mari Hanes,,Fiction,,,,,4,
Two New Sciences,Galileo,,,Science,,,,9,
Understood Betsy,Dorothy Fisher,,Fiction,,,,,6,
Undying Glory: True Story of the Massachusetts 54th Regiment,Clinton Cox,,,,,,,7,
War and Peace ,Tolstoy,,Fiction,War,,,,10,
War of the Worlds,H. G. Wells,,Fiction,,,,,6,Kindle
War Stories: True Stories from the First and Second World Wars,Paul Doswell,,,,,,,8,
Watership Down,Richard Adams,,Fiction,,,,,6,
We Were There on the Oregon Trail,William Steele,,,,,,,8,
We Were There with the Pony Express,William Steele,,,,,,,8,
Welsh Legends and Folk-Tales,Gwyn Jones,,,History,,,,,
What If?,Randall Munroe ,,Non-Fiction,Science,Comedy,,,4,
What If? II,Randall Munroe ,,Non-Fiction,Science,Comedy,,,4,
What is Metaphysics?,Heidegger,,,Philosophy,,,,9,
When We Were Young,A. A. Milne,,Fiction,,,,,2,
Where the Red Fern Grows,Wilson Rawls,,Fiction,,,,,5,
White Fang,Jack London,,Fiction,,,,,6,
Why Mosquitoes Buzz in People’s Ears,Verna Aardemas,,Fiction,,,,,2,
"Why Not, Lafayette?",Jean Fritz,,,,,,,7,
Winnie the Pooh,A. A. Milne,,Fiction,,,,,3,
Wise Words: Family Stories that Bring the Proverbs to Life,"Leithart, Peter.",,Non-Fiction,,,,,1,
With Lee in Virginia,G. A. Henty,,,,,,,8,
Wizard of Earthsea Series,Ursula Le Guin,,Fiction,Fantasy,,,,4,
Yugoslav Folk-Tales,Nada Curcija-Prodanovic,,,History,,,,,
Zero: The Biography of a Dangerous Idea,Charles Seife,,Non-Fiction,Maths,,,,6,Kindle
