title,author,isbn,book_type,genre,sub_genre,topic,lexile_rating,grade,owned
Confessions,Augustine,,Non-Fiction,Religion,Philosophy,,,10,
Cowboy Sam,"Changler, Edna.",,Fiction,,,,,1,
"Critique of Pure Reason
",Immanuel Kant,,,Philosophy,,,,11,
Cromwell’s Boy,Erik Haugaard,,Fiction,,,,,7,
Cross-Country Cat,Mary Calhoun,,Fiction,,,,,2,
Daniel’s Duck,"Bulla, Clyde.",,Fiction,,,,,1,
Danny and the Dinosaur,"Hoff, Syd.",,Fiction,,,,,1,
Danny Dunn,Jay Williams,,Fiction,,,,,2,
Dante’s Inferno Cantos I-V,Robert Pinsky,,,Classic,,,,,
David Copperfield,Charles Dickens,,,,,,,8,
"David Livingstone, Foe of Darkness",Jeanette Eaton,,,,,,,7,
Davy Crockett: His Own Story,Davy Crockett,,,,,,,8,
Dear Mr. Henshaw,Beverly Cleary,,Fiction,,,,,5,
Destination: Moon,James Irwin,,,,,,,8,
Detectives in Togas,Henry Winterfeld,,Fiction,,,,,3,
Dick Whittington and His Cat,Marcia Brown,,Fiction,,,,,2,
Divine Comedy,Dante,,,Literature,,,,10,
Doctor De Soto,William Steig,,Fiction,,,,,2,
Doctor De Soto Goes to Africa,William Steig,,Fiction,,,,,2,
Doctor Dolittle,Hugh Lofting,,Fiction,,,,,2,
Don Quixote,Cervantes,,,Literature,,,,10,
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,,,,,,,7,
Dragon of Lonely Island,Rebecca Rupp,,Fiction,,,,,3,
Elements,Euclid,,,Maths,,,,10,
Emma,Jane Austen,,,Literature,,,,9,
Encyclopedia Brown Series,Donald Sobol,,,,,,,3,
English Fables and Fairy Stories,James Reeves,,,History,,,,,
Escape From Warsaw,Ian Serraillier,,,,,,,8,
Essays on the Theory of Numbers,Dedekind,,,Maths,,,,10,
Fahrenheit 451,Ray Bradbury,,Fiction,,,,,6,
Family Adventures,Lee Roddy,,Fiction,,,,,3,
"Famous Five
",Enid Blyton,,Fiction,Adventure,,,,3,
Father Brown,G. K. Chesterton,,Fiction,,,,,,
Faust,Goethe,,,Literature,,,,10,
Five Children and It,Edith Nesbit,,Fiction,,,,,2,
Five Little Peppers,Margaret Sidney,,Fiction,,,,,4,
Flags of Our Fathers,James Bradley,,,,,,,8,
Flat Stanley,"Brown, Jeff.",,Fiction,,,,,1,
Forbidden Paths of Thual,Victor Kelleher,,Fiction,Fantasy,,,,5,
Forgotten Founding Father: George Whitefield,Stephen Mansfield,,Non-Fiction,Biography,Religious,,,7,
Foundations of the Metaphysics of Morals,Immanuel Kant,,Non-Fiction,Philosophy,,,,11,
Freedom Train,Dorothy Sterling,,Non-Fiction,,,,,6,
French Legends,Tales and Fairy Stories,,,History,,,,,
Frog and Toad Are Friends +,"Lobel, Arnold.",,Fiction,,,,,1,
From the Mixed-Up Files of Mrs. Basel E. Frankweiler,E. L. Konigsburg,,Fiction,,,,,4,
Gentle Ben,Walt Morey,,Fiction,,,,,4,
Geometry,Descartes,,,Maths,,,,10,
George Washington’s World,Genevieve Foster,,,,,,,7,
German Hero-Sagas and Folk Tales,Barbara Leonie Picard,,,History,,,,,
Gettysburg,MacKinlay Kantor,,,,,,,8,
Ginger Pye,Eleanor Estes,,Fiction,,,,,4,
Give Me Liberty,David Vaughn,,,,,,,7,
God’s Smuggler,Brother Andrew,,,,,,,7,
Gone with the Wind,Margaret Mitchell,,Fiction,Romance,,,,,
Good-bye My Lady,James Street,,Fiction,,,,,4,
Greek Myths,Olivia Coolidge,,,History,,,,,
Grimm’s Fairy Tales,Brothers Grimm,,,Fairy Tale,,,,,
Gulliver’s Travels,Jonathan Swift,,Fiction,Adventure,,,,8,
Guns of Thunder,Douglas Bond,,,,,,,7,
Hamlet,Shakespeare,,Fiction,Play,,,,8,
Hans Brinker,Mary Dodge,,Fiction,,,,,5,
Hatchet,Gary Paulsen,,Fiction,,,,,5,
Heidi,Johanna Spyri,,Fiction,,,,,5,
Henry Huggins,Beverly Cleary,,Fiction,,,,,3,
Henry IV,"Shakespeare
",,Non-Fiction,Historical Play,War,,,10,
"Henry Reed, Inc.",Keith Robertson,,Fiction,,,,,4,
Henry V,William Shakespeare,,,Historical Play,War,,,,
Hero Tales from American History,T. Roosevelt; H. Lodge,,,,,,,7,
"Hey, Mac!",Willian McMurdie,,,,,,,8,
Hiroshima,John Hersey,,,,,,,8,
Histories,Herodotus,,Non-Fiction,History,,,,10,
History of the World Vol I,Susan Wise Bauer,,Non-Fiction,History,,,,2,
History of the World Vol II,Susan Wise Bauer,,Non-Fiction,History,,,,3,
History of the World Vol III,Susan Wise Bauer,,Non-Fiction,History,,,,4,
History of the World Vol IV,Susan Wise Bauer,,Non-Fiction,History,,,,5,
Hitch,Jeanette Ingold,,,,,,,8,
Hitler,Albert Marrin,,Non-Fiction,History,War,World War II,,8,
Hitty: Her First Hundred Years,Rachel Field,,Non-Fiction,History,,,,6,
Homer Price,Robert McCloskey,,Fiction,,,,,3,
Horatio Hornblower,C. S. Forester,,,,,,,8,
How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,,Non-Fiction,Maths,,,,6,
How to Behave and Why,"Leaf, Munro.",,Fiction,,,,,1,
How to Eat Fried Worms,Thomas Rockwell,,Fiction,,,,,1,
How to Speak Politely and Why,"Leaf, Munro.",,Non-Fiction,,,,,1,
How We Crossed the West ,Rosalyn Schanzer,,,,,,,7,
"I, Juan de Pareja",Elizabeth de Trevino,,,Historical Fiction,,,,7,
Iliad,Homer,,Fiction,Myth,Adventure,,,8,
Immigrant Kids,Russell Freedman,,,,,,,8,
In Freedom’s Cause,G. A. Henty,,,,,,,7,
In Grandma’s Attic,Arleta Richardson,,Fiction,,,,,3,
In His Steps,Charles Sheldon,,,,,,,8,
In the Reign of Terror,G. H. Henty,,Non-Fiction,,,,,6,Kindle
Inch by Inch,"Lionni, Leo.",,Fiction,,,,,1,
India’s Tales and Legends,J. E. B. Gray,,,History,,,,,
Inkheart,Cornellia Funke,,Fiction,,,,,4,
Innumeracy: Mathematical Illiteracy and its Consequences,John Allen Paulos,,,Maths,,,,,
Intro to Mathematical Philosophy,Bertrand Russel,,Non-Fiction,Philosophy,Maths,,,10,
